"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
2927,2,0,2,1,1,"Manhattan",40.82605,-73.94424,1.5,1,64,30,363,5,0,0.02,0,0,1,0,0,0,1,0,0,4.15888308335967
3954,4,0,2,1,1,"Manhattan",40.74039,-74.00013,1,2,275,7,30,4.92,1,0.18,1,0,0,0,0,0,1,0,0,5.61677109766657
3847,0,0,0,1,1,"Brooklyn",40.70826,-73.95366,1,2,65,1,154,4.95,0,3.21,0,0,1,0,0,1,0,0,0,4.17438726989564
3485,3,1,2,1,1,"Brooklyn",40.73468,-73.95359,1,2,209,5,261,5,0,0.19,1,0,0,0,0,1,0,0,0,5.34233425196481
2773,0,0,1,1,0,"Brooklyn",40.67619,-73.95855,1,2,65,30,0,4.4,0,0.06,0,0,1,0,0,1,0,0,0,4.17438726989564
2772,0,0,1,1,0,"Manhattan",40.82897,-73.94661,1,2,68,30,0,4.67,0,0.13,1,0,0,0,0,0,1,0,0,4.21950770517611
2772,4,1,2,1,0,"Manhattan",40.77934,-73.9876,1,2,165,3,82,4.88,1,1.71,0,0,1,0,0,0,1,0,0,5.10594547390058
2772,4,1,2,1,0,"Manhattan",40.77894,-73.98759,1,2,175,5,49,4.9,1,0.63,1,0,0,0,0,0,1,0,0,5.16478597392351
2772,0,0,1,1,0,"Manhattan",40.72549,-73.98474,1,4,250,30,0,5,0,0.02,1,0,0,0,0,0,1,0,0,5.52146091786225
3015,0,0,1,1,1,"Brooklyn",40.70663,-73.93682,2,1,65,3,0,4.5,0,0.02,0,0,1,0,0,1,0,0,0,4.17438726989564
3430,0,0,1,1,1,"Brooklyn",40.64742,-74.01245,1,2,80,30,0,4.74,1,0.42,1,0,0,0,0,1,0,0,0,4.38202663467388
2954,0,0,1,1,1,"Manhattan",40.73743,-73.98226,1,2,209,30,0,4,0,0.02,1,0,0,0,0,0,1,0,0,5.34233425196481
2772,0,0,2,1,1,"Brooklyn",40.69538,-73.94961,2,2,55,30,0,4.71,0,0.17,0,0,1,0,0,1,0,0,0,4.00733318523247
3832,0,0,1,1,1,"Manhattan",40.77719,-73.95327,1,3,175,30,0,5,0,0.01,1,0,0,0,0,0,1,0,0,5.16478597392351
2771,0,0,1,1,1,"Manhattan",40.76326,-73.99142,1,2,500,30,0,0,0,0,1,0,0,0,0,0,1,0,0,6.21460809842219
2911,0,0,1,1,1,"Manhattan",40.71506,-73.98702,1,4,200,30,0,4.25,0,0.05,1,0,0,0,0,0,1,0,0,5.29831736654804
3880,2,0,1,1,0,"Queens",40.76271,-73.91208,1,2,75,30,341,4.84,0,1.29,0,0,1,0,0,0,0,1,0,4.31748811353631
